Site_Name,Replicate_Number,Time,Initial_Weight,Initial_Water_Volume,Time,Final_Weight,Final_Water_Volume_(mL),Percent_Change_Weight,Percent_Change_Volume
Church,42,1899-12-30T15:08:00Z,2.08,290,1899-12-30T10:02:00Z,2.47,231,18.750000000000007,-20.344827586206897
Church,43,1899-12-30T15:10:00Z,2.01,290,1899-12-30T10:03:00Z,2.17,226,7.9601990049751326,-22.06896551724138
Church,44,1899-12-30T15:11:00Z,2.04,290,1899-12-30T10:02:00Z,2.35,220,15.19607843137255,-24.137931034482758
Church,45,1899-12-30T15:12:00Z,2.05,290,1899-12-30T10:01:00Z,2.71,220,32.19512195121953,-24.137931034482758
Church,46,1899-12-30T15:15:00Z,2.07,290,1899-12-30T10:09:00Z,2.29,219,10.628019323671507,-24.482758620689655
Church,47,1899-12-30T15:15:00Z,2.08,290,1899-12-30T10:06:00Z,2.59,220,24.519230769230756,-24.137931034482758
Church,48,1899-12-30T15:18:00Z,2.08,290,1899-12-30T10:10:00Z,2.44,246,17.307692307692303,-15.172413793103448
Church,49,1899-12-30T15:18:00Z,2.02,290,1899-12-30T10:08:00Z,2.33,221,15.34653465346535,-23.79310344827586
Church,50,1899-12-30T15:21:00Z,2.06,290,1899-12-30T10:12:00Z,2.42,218,17.475728155339798,-24.82758620689655
Church,51,1899-12-30T15:24:00Z,2.06,290,1899-12-30T10:14:00Z,2.53,216,22.81553398058251,-25.517241379310345
Church,52,1899-12-30T15:26:00Z,2.06,290,1899-12-30T10:17:00Z,2.44,215,18.446601941747566,-25.862068965517242
Church,53,1899-12-30T15:27:00Z,2.08,290,1899-12-30T10:19:00Z,2.37,220,13.942307692307693,-24.137931034482758
Church,54,1899-12-30T15:30:00Z,2.09,290,1899-12-30T10:20:00Z,2.19,215,4.7846889952153155,-25.862068965517242
West,55,1899-12-30T09:10:00Z,2.05,290,1899-12-30T08:14:00Z,2.08,217,1.4634146341463536,-25.17241379310345
West,56,1899-12-30T09:11:00Z,2.03,290,1899-12-30T08:15:00Z,2.1,220,3.44827586206898,-24.137931034482758
West,57,1899-12-30T09:12:00Z,2.05,290,1899-12-30T08:14:00Z,2.23,214,8.780487804878058,-26.20689655172414
West,58,1899-12-30T09:13:00Z,2.04,290,1899-12-30T08:15:00Z,2.08,211,1.960784313725492,-27.241379310344826
West,59,1899-12-30T09:13:00Z,2,290,1899-12-30T08:29:00Z,2,214,0,-26.20689655172414
West,60,1899-12-30T09:15:00Z,2.08,290,1899-12-30T08:23:00Z,1.97,220,-5.288461538461544,-24.137931034482758
West,61,1899-12-30T09:16:00Z,2.08,290,1899-12-30T08:25:00Z,2.02,222,-2.8846153846153872,-23.448275862068964
West,62,1899-12-30T09:22:00Z,2.05,290,1899-12-30T08:31:00Z,2.26,222,10.24390243902439,-23.448275862068964
West,63,1899-12-30T09:25:00Z,2.03,290,1899-12-30T08:36:00Z,2.33,211,14.778325123152724,-27.241379310344826
West,64,1899-12-30T09:29:00Z,2.07,290,1899-12-30T08:37:00Z,2.54,211,22.705314009661848,-27.241379310344826
West,65,1899-12-30T09:30:00Z,2.02,290,1899-12-30T08:35:00Z,2.03,183,0.4950495049504845,-36.896551724137936
West,66,1899-12-30T09:30:00Z,2.08,290,1899-12-30T08:46:00Z,2.27,215,9.134615384615381,-25.862068965517242
West,67,1899-12-30T09:31:00Z,2.08,290,1899-12-30T08:47:00Z,2.25,216,8.17307692307692,-25.517241379310345
West,68,1899-12-30T09:33:00Z,2.02,290,1899-12-30T08:46:00Z,2.08,215,2.970297029702973,-25.862068965517242
West,69,1899-12-30T09:34:00Z,2.04,290,1899-12-30T08:45:00Z,2.5,212,22.549019607843135,-26.89655172413793
West,70,1899-12-30T09:36:00Z,2.02,290,1899-12-30T08:49:00Z,2.51,217,24.257425742574245,-25.17241379310345
West,71,1899-12-30T09:38:00Z,2.09,290,1899-12-30T08:50:00Z,2.2,219,5.263157894736858,-24.482758620689655
West,72,1899-12-30T09:45:00Z,2.08,290,1899-12-30T08:50:00Z,2.09,214,0.48076923076922046,-26.20689655172414
